1.000000000000000e-01	2.195085750337777e-02	1.665833531717564e-03	2.082713431716954e-07
1.000000000000000e-02	2.346951865241031e-03	1.666658335575111e-05	2.085787098593528e-11
1.000000000000000e-03	2.361971281081843e-04	1.666667500677121e-07	4.503064587879635e-13
1.000000000000000e-04	2.363471685495888e-05	1.664669402323682e-09	3.970601625269410e-12
1.000000000000000e-05	2.363627478851882e-06	1.021316364813174e-11	5.524070090245914e-11
1.000000000000000e-06	2.364797355713932e-07	1.156594819917700e-10	7.472511498463064e-11
1.000000000000000e-07	2.225080653062150e-08	1.388671067026337e-09	3.932769665482283e-09
1.000000000000000e-08	2.923702058232891e-09	5.993764151668302e-09	1.900348101102622e-09
1.000000000000000e-09	7.075778674092703e-08	7.075778674092703e-08	1.526261077522406e-07
1.000000000000000e-10	2.549615090163826e-07	2.549615090163826e-07	2.549615087943380e-07
1.000000000000000e-11	9.730633057092319e-07	9.730633057092319e-07	7.213768791869413e-06
1.000000000000000e-12	1.034090459390846e-04	1.034090459390846e-04	1.034090459390846e-04
1.000000000000000e-13	1.001813287240250e-03	1.001813287240250e-03	4.728969181097442e-03
1.000000000000000e-14	1.926059615438303e-02	1.926059615438303e-02	3.804722852899600e-02
1.000000000000000e-15	7.898138901712382e-02	1.096820093832197e-01	1.506161698713476e-01
